"unique_number","plot_no","treatment","plot_rep","matrix_no","species_code","species","sample_period","status","standing.height","height.mm","total.branch.length","biomass.g","stemdiam.mm","maxSpineLength.mm","postclipStemNo","date.clipped","date.measured","date.germinated","Age.of.plant","treatdate","Etreatdate","genus","MAR","rainclass"
25,"h1_1","1 month",1,"e1","vacdav","Vachellia_davyi","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Vachellia",891,"high"
26,"h1_1","1 month",1,"e2","vaceri","Vachellia_erioloba","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",424,"low"
28,"h1_1","1 month",1,"e4","comher","Combretum_hereroense","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,73,60,"Combretum",608.5,"med"
29,"h1_1","1 month",1,"e5","vacsie","Vachellia_sieberiana","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,66,60,"Vachellia",984,"high"
30,"h1_1","1 month",1,"e6","commol","Combretum_molle","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",850,"high"
31,"h1_1","1 month",1,"f1","comcol","Combretum_collinum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",521,"low"
32,"h1_1","1 month",1,"f2","sennig","Senegalia_nigrescens","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,75,60,"Senegalia",673.5,"med"
33,"h1_1","1 month",1,"f3","colmop","Colophospermum_mopane","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,77,60,"Colophospermum",478.5,"low"
34,"h1_1","1 month",1,"f4","comcol","Combretum_collinum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",521,"low"
36,"h1_1","1 month",1,"f6","vackar","Vachellia_karroo(rbay)","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Vachellia",693,"med"
38,"h1_1","1 month",1,"g2","comher","Combretum_hereroense","4 months post",1,"",320,320,NA,NA,NA,1,"","15-Mar-17","10/09/2016",186,73,60,"Combretum",608.5,"med"
39,"h1_1","1 month",1,"g3","vackar","Vachellia_karroo(rbay)","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Vachellia",693,"med"
40,"h1_1","1 month",1,"g4","commol","Combretum_molle","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",850,"high"
41,"h1_1","1 month",1,"g5","vacexu","Vachellia_exuvialis","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",631,"med"
42,"h1_1","1 month",1,"g6","vacdav","Vachellia_davyi","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Vachellia",891,"high"
43,"h1_1","1 month",1,"h1","colmop","Colophospermum_mopane","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,77,60,"Colophospermum",478.5,"low"
44,"h1_1","1 month",1,"h2","comcol","Combretum_collinum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",521,"low"
45,"h1_1","1 month",1,"h3","vaceri","Vachellia_erioloba","4 months post",1,"",170,170,NA,NA,6,1,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",424,"low"
46,"h1_1","1 month",1,"h4","sennig","Senegalia_nigrescens","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,75,60,"Senegalia",673.5,"med"
48,"h1_1","1 month",1,"h6","vacsie","Vachellia_sieberiana","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,66,60,"Vachellia",984,"high"
49,"h1_2","1 month",2,"a1","vacexu","Vachellia_exuvialis","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",631,"med"
51,"h1_2","1 month",2,"a3","vacexu","Vachellia_exuvialis","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",631,"med"
52,"h1_2","1 month",2,"a4","comcol","Combretum_collinum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",521,"low"
53,"h1_2","1 month",2,"a5","comher","Combretum_hereroense","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,73,60,"Combretum",608.5,"med"
54,"h1_2","1 month",2,"a6","sennig","Senegalia_nigrescens","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,75,60,"Senegalia",673.5,"med"
56,"h1_2","1 month",2,"b2","comher","Combretum_hereroense","4 months post",1,"",50,50,NA,NA,NA,1,"","15-Mar-17","10/09/2016",186,73,60,"Combretum",608.5,"med"
57,"h1_2","1 month",2,"b3","sennig","Senegalia_nigrescens","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,75,60,"Senegalia",673.5,"med"
58,"h1_2","1 month",2,"b4","vacdav","Vachellia_davyi","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Vachellia",891,"high"
59,"h1_2","1 month",2,"b5","vacsie","Vachellia_sieberiana","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,66,60,"Vachellia",984,"high"
60,"h1_2","1 month",2,"b6","vackar","Vachellia_karroo(rbay)","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Vachellia",693,"med"
61,"h1_2","1 month",2,"c1","sennig","Senegalia_nigrescens","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,75,60,"Senegalia",673.5,"med"
63,"h1_2","1 month",2,"c3","vackar","Vachellia_karroo(rbay)","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Vachellia",693,"med"
64,"h1_2","1 month",2,"c4","vacexu","Vachellia_exuvialis","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",631,"med"
65,"h1_2","1 month",2,"c5","comapi","Combretum_apiculatum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Combretum",618,"med"
66,"h1_2","1 month",2,"c6","comcol","Combretum_collinum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",521,"low"
68,"h1_2","1 month",2,"d2","commol","Combretum_molle","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",850,"high"
69,"h1_2","1 month",2,"d3","vacsie","Vachellia_sieberiana","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,66,60,"Vachellia",984,"high"
70,"h1_2","1 month",2,"d4","colmop","Colophospermum_mopane","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,77,60,"Colophospermum",478.5,"low"
71,"h1_2","1 month",2,"d5","vacexu","Vachellia_exuvialis","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",631,"med"
72,"h1_2","1 month",2,"d6","commol","Combretum_molle","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",850,"high"
73,"h1_2","1 month",2,"e1","vacdav","Vachellia_davyi","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Vachellia",891,"high"
74,"h1_2","1 month",2,"e2","vaceri","Vachellia_erioloba","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",424,"low"
75,"h1_2","1 month",2,"e3","colmop","Colophospermum_mopane","4 months post",1,"",220,220,NA,NA,NA,1,"","15-Mar-17","06/09/2016",190,77,60,"Colophospermum",478.5,"low"
76,"h1_2","1 month",2,"e4","comher","Combretum_hereroense","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,73,60,"Combretum",608.5,"med"
77,"h1_2","1 month",2,"e5","colmop","Colophospermum_mopane","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,77,60,"Colophospermum",478.5,"low"
78,"h1_2","1 month",2,"e6","vacdav","Vachellia_davyi","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Vachellia",891,"high"
79,"h1_2","1 month",2,"f1","comcol","Combretum_collinum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",521,"low"
81,"h1_2","1 month",2,"f3","vackar","Vachellia_karroo(rbay)","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Vachellia",693,"med"
82,"h1_2","1 month",2,"f4","vaceri","Vachellia_erioloba","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",424,"low"
83,"h1_2","1 month",2,"f5","vacsie","Vachellia_sieberiana","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,66,60,"Vachellia",984,"high"
84,"h1_2","1 month",2,"f6","comcol","Combretum_collinum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",521,"low"
85,"h1_2","1 month",2,"g1","comher","Combretum_hereroense","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,73,60,"Combretum",608.5,"med"
86,"h1_2","1 month",2,"g2","colmop","Colophospermum_mopane","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,77,60,"Colophospermum",478.5,"low"
87,"h1_2","1 month",2,"g3","vaceri","Vachellia_erioloba","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",424,"low"
88,"h1_2","1 month",2,"g4","vacdav","Vachellia_davyi","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Vachellia",891,"high"
89,"h1_2","1 month",2,"g5","vacsie","Vachellia_sieberiana","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,66,60,"Vachellia",984,"high"
90,"h1_2","1 month",2,"g6","vaceri","Vachellia_erioloba","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",424,"low"
91,"h1_2","1 month",2,"h1","vackar","Vachellia_karroo(rbay)","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Vachellia",693,"med"
93,"h1_2","1 month",2,"h3","sennig","Senegalia_nigrescens","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,75,60,"Senegalia",673.5,"med"
96,"h1_2","1 month",2,"h6","comapi","Combretum_apiculatum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Combretum",618,"med"
97,"h1_3","1 month",3,"a1","colmop","Colophospermum_mopane","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,77,60,"Colophospermum",478.5,"low"
98,"h1_3","1 month",3,"a2","vaceri","Vachellia_erioloba","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",424,"low"
102,"h1_3","1 month",NA,"a4","vacexu","Vachellia_exuvialis","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",631,"med"
726,"h1_3","1 month",3,"a6","sennig","Senegalia_nigrescens","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,75,60,"Senegalia",673.5,"med"
99,"h1_3","1 month",3,"aa3","sennig","Senegalia_nigrescens","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,75,60,"Senegalia",673.5,"med"
100,"h1_3","1 month",3,"aa4","vacsie","Vachellia_sieberiana","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,66,60,"Vachellia",984,"high"
103,"h1_3","1 month",3,"b1","comher","Combretum_hereroense","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,73,60,"Combretum",608.5,"med"
105,"h1_3","1 month",3,"b3","comcol","Combretum_collinum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",521,"low"
106,"h1_3","1 month",3,"b4","comher","Combretum_hereroense","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,73,60,"Combretum",608.5,"med"
107,"h1_3","1 month",3,"b5","vacsie","Vachellia_sieberiana","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,66,60,"Vachellia",984,"high"
108,"h1_3","1 month",3,"b6","colmop","Colophospermum_mopane","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,77,60,"Colophospermum",478.5,"low"
110,"h1_3","1 month",3,"c2","vacdav","Vachellia_davyi","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Vachellia",891,"high"
111,"h1_3","1 month",3,"c3","commol","Combretum_molle","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",850,"high"
112,"h1_3","1 month",3,"c4","vaceri","Vachellia_erioloba","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",424,"low"
115,"h1_3","1 month",3,"d1","vacexu","Vachellia_exuvialis","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",631,"med"
116,"h1_3","1 month",3,"d2","vacsie","Vachellia_sieberiana","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,66,60,"Vachellia",984,"high"
117,"h1_3","1 month",3,"d3","comcol","Combretum_collinum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",521,"low"
119,"h1_3","1 month",3,"d5","comcol","Combretum_collinum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",521,"low"
120,"h1_3","1 month",3,"d6","vacdav","Vachellia_davyi","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Vachellia",891,"high"
122,"h1_3","1 month",3,"e2","comher","Combretum_hereroense","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,73,60,"Combretum",608.5,"med"
123,"h1_3","1 month",3,"e3","vacdav","Vachellia_davyi","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Vachellia",891,"high"
124,"h1_3","1 month",3,"e4","colmop","Colophospermum_mopane","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,77,60,"Colophospermum",478.5,"low"
125,"h1_3","1 month",3,"e5","vackar","Vachellia_karroo(rbay)","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Vachellia",693,"med"
128,"h1_3","1 month",3,"f2","vackar","Vachellia_karroo(rbay)","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Vachellia",693,"med"
129,"h1_3","1 month",3,"f3","vaceri","Vachellia_erioloba","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",424,"low"
130,"h1_3","1 month",3,"f4","comcol","Combretum_collinum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",521,"low"
131,"h1_3","1 month",3,"f5","vaceri","Vachellia_erioloba","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",424,"low"
132,"h1_3","1 month",3,"f6","vacexu","Vachellia_exuvialis","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",631,"med"
133,"h1_3","1 month",3,"g1","vackar","Vachellia_karroo(rbay)","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Vachellia",693,"med"
134,"h1_3","1 month",3,"g2","colmop","Colophospermum_mopane","4 months post",1,"",120,120,NA,NA,NA,1,"","15-Mar-17","06/09/2016",190,77,60,"Colophospermum",478.5,"low"
135,"h1_3","1 month",3,"g3","comher","Combretum_hereroense","4 months post",1,"",60,100,NA,NA,NA,2,"","15-Mar-17","10/09/2016",186,73,60,"Combretum",608.5,"med"
137,"h1_3","1 month",3,"g5","sennig","Senegalia_nigrescens","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,75,60,"Senegalia",673.5,"med"
138,"h1_3","1 month",3,"g6","vackar","Vachellia_karroo(rbay)","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Vachellia",693,"med"
140,"h1_3","1 month",3,"h2","commol","Combretum_molle","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",850,"high"
141,"h1_3","1 month",3,"h3","vacdav","Vachellia_davyi","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Vachellia",891,"high"
143,"h1_3","1 month",3,"h5","vacexu","Vachellia_exuvialis","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",631,"med"
144,"h1_3","1 month",3,"h6","vacsie","Vachellia_sieberiana","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,66,60,"Vachellia",984,"high"
145,"h2_1","2 month",1,"a1","vaceri","Vachellia_erioloba","3 months post",1,"",120,120,NA,NA,5,1,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",424,"low"
146,"h2_1","2 month",1,"a2","vackar","Vachellia_karroo(rbay)","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Vachellia",693,"med"
147,"h2_1","2 month",1,"a3","vacsie","Vachellia_sieberiana","3 months post",1,"",190,423,NA,NA,13,4,"","15-Mar-17","17/09/2016",179,96,90,"Vachellia",984,"high"
148,"h2_1","2 month",1,"a4","colmop","Colophospermum_mopane","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,107,90,"Colophospermum",478.5,"low"
149,"h2_1","2 month",1,"a5","comcol","Combretum_collinum","3 months post",1,"",45,45,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",521,"low"
150,"h2_1","2 month",1,"a6","sennig","Senegalia_nigrescens","3 months post",1,"",160,160,NA,NA,3,1,"","15-Mar-17","08/09/2016",188,105,90,"Senegalia",673.5,"med"
151,"h2_1","2 month",1,"b1","vacdav","Vachellia_davyi","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,101,90,"Vachellia",891,"high"
152,"h2_1","2 month",1,"b2","vackar","Vachellia_karroo(rbay)","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Vachellia",693,"med"
153,"h2_1","2 month",1,"b3","comcol","Combretum_collinum","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",521,"low"
154,"h2_1","2 month",1,"b4","comapi","Combretum_apiculatum","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,101,90,"Combretum",618,"med"
155,"h2_1","2 month",1,"b5","vaceri","Vachellia_erioloba","3 months post",1,"",70,70,NA,NA,6,1,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",424,"low"
156,"h2_1","2 month",1,"b6","vackar","Vachellia_karroo(rbay)","3 months post",1,"",150,150,NA,NA,7,1,"","15-Mar-17","16/09/2016",180,97,90,"Vachellia",693,"med"
157,"h2_1","2 month",1,"c1","vackar","Vachellia_karroo(rbay)","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Vachellia",693,"med"
158,"h2_1","2 month",1,"c2","comher","Combretum_hereroense","3 months post",1,"",110,180,NA,NA,NA,2,"","15-Mar-17","10/09/2016",186,103,90,"Combretum",608.5,"med"
159,"h2_1","2 month",1,"c3","vacsie","Vachellia_sieberiana","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,96,90,"Vachellia",984,"high"
160,"h2_1","2 month",1,"c4","vacdav","Vachellia_davyi","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,101,90,"Vachellia",891,"high"
161,"h2_1","2 month",1,"c5","comher","Combretum_hereroense","3 months post",1,"",60,120,NA,NA,NA,3,"","15-Mar-17","10/09/2016",186,103,90,"Combretum",608.5,"med"
162,"h2_1","2 month",1,"c6","vacexu","Vachellia_exuvialis","3 months post",1,"",150,150,NA,NA,7,1,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",631,"med"
163,"h2_1","2 month",1,"d1","vackar","Vachellia_karroo(rbay)","3 months post",1,"",110,110,NA,NA,7,1,"","15-Mar-17","16/09/2016",180,97,90,"Vachellia",693,"med"
164,"h2_1","2 month",1,"d2","comcol","Combretum_collinum","3 months post",1,"",110,180,NA,NA,NA,2,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",521,"low"
165,"h2_1","2 month",1,"d3","vacexu","Vachellia_exuvialis","3 months post",1,"",40,40,NA,NA,4,1,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",631,"med"
166,"h2_1","2 month",1,"d4","colmop","Colophospermum_mopane","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,107,90,"Colophospermum",478.5,"low"
169,"h2_1","2 month",1,"e1","vaceri","Vachellia_erioloba","3 months post",1,"",20,20,NA,NA,1,1,"","15-Mar-17","11/09/2016",185,102,90,"Vachellia",424,"low"
170,"h2_1","2 month",1,"e2","commol","Combretum_molle","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,97,90,"Combretum",850,"high"
171,"h2_1","2 month",1,"e3","vacsie","Vachellia_sieberiana","3 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,96,90,"Vachellia",984,"high"
