"","Age.of.plant","species_code","pred_SD_mm","pred_SD_up","pred_SD_low","treatdate","pred_surv","pred_surv_low","pred_surv_high","species_code","Bite.probability","max_bite_diam_duiker_mm","duiker_sd","max_bite_diameter_kudu_mm","kudu_sd","mean_bite_diam_duiker_mm","duiker_mean_sd","mean_bite_diameter_kudu_mm","kudu_mean_sd","test","medianBiteTip","q95BiteTip","maxBiteTip","genus","rainclass"
"3.10",20,"vaceri",1.35418059421756,1.54814961730053,1.18451412012296,20,0.00379929306705228,-0.00246215000688661,0.0100607361409912,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.11",21,"vaceri",1.36568957251097,1.55939877069168,1.19604301575659,21,0.0040680812352718,-0.00255925046760148,0.0106954129381451,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.12",22,"vaceri",1.37729636388923,1.57073191763563,1.20768238849943,22,0.00435580218491792,-0.00265769048237252,0.0113692948522084,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.13",23,"vaceri",1.38900179965111,1.58214976516103,1.21943323060674,23,0.00466377732320499,-0.00275716696837105,0.012084721614781,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.14",24,"vaceri",1.40080671816047,1.59365302955348,1.23129654024709,24,0.0049934185038413,-0.0028573268295312,0.0128441638372138,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.15",25,"vaceri",1.4127119649063,1.60524243662183,1.24327332137405,25,0.00534623395694968,-0.00295776140996494,0.0136502293238643,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.16",26,"vaceri",1.42471839256327,1.6169187219775,1.25536458358623,26,0.00572383456925811,-0.00305800042582743,0.0145056695643436,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.17",27,"vaceri",1.43682686105281,1.62868263132729,1.26757134197498,27,0.00612794052941999,-0.00315750533312942,0.0154133863919694,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.18",28,"vaceri",1.4490382376047,1.6405349207808,1.27989461695895,28,0.00656038835299738,-0.00325566208634439,0.0163764387923391,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.19",29,"vaceri",1.46135339681915,1.65247635717305,1.29233543410463,29,0.00702313830110957,-0.00335177323998787,0.017398049842207,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.20",30,"vaceri",1.4737732207295,1.66450771840343,1.30489482393195,30,0.0075182822059752,-0.00344504934269215,0.0184816137546425,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.21",31,"vaceri",1.48629859886534,1.67662979379185,1.31757382170397,31,0.00804805171551762,-0.00353459957070243,0.0196307030017377,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.22",32,"vaceri",1.49893042831624,1.68884338445317,1.33037346719973,32,0.0086148269678124,-0.00361942154523631,0.0208490754808611,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.23",33,"vaceri",1.51166961379599,1.70114930369099,1.34329480446897,33,0.00922114570438023,-0.00369839027584157,0.022140681684602,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.24",34,"vaceri",1.52451706770744,1.71354837741213,1.35633888156769,34,0.00986971282910746,-0.00377024616983883,0.0235096718280538,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.25",35,"vaceri",1.53747371020778,1.72604144456279,1.36950675027322,35,0.0105634104168434,-0.00383358204623999,0.0249604028799269,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.26",36,"vaceri",1.55054046927451,1.73862935758812,1.38279946577754,36,0.0113053081724051,-0.00388682909130776,0.026497445436118,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.27",37,"vaceri",1.56371828077183,1.75131298291627,1.39621808635728,37,0.012098674336732,-0.00392824169229931,0.0281255903657633,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.28",38,"vaceri",1.57700808851776,1.76409320146871,1.40976367301903,38,0.0129469870321876,-0.00395588108608122,0.0298498551504565,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.29",39,"vaceri",1.59041084435164,1.77697090919835,1.42343728911826,39,0.0138539460334012,-0.00396759776039938,0.0316754898272018,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.30",40,"vaceri",1.6039275082024,1.78994701765724,1.43723999995009,40,0.0148234849434705,-0.00396101254785722,0.0336079824347983,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.31",41,"vaceri",1.61755904815721,1.8030224545957,1.4511728723101,41,0.0158597837476983,-0.00393349635635034,0.0356530638517469,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.32",42,"vaceri",1.6313064405309,1.81619816459487,1.46523697402327,42,0.0169672817081721,-0.00388214848511791,0.0378167119014621,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.33",43,"vaceri",1.64517066993586,1.82947510973476,1.4794333734388,43,0.018150690552302,-0.00380377348303473,0.0401051545876386,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.34",44,"vaceri",1.65915272935253,1.84285427030012,1.49376313888869,44,0.0194150078967506,-0.00369485651565886,0.0425248723091601,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.35",45,"vaceri",1.67325362020055,1.85633664552646,1.50822733810775,45,0.0207655308348949,-0.00355153722029784,0.0450825988900875,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.36",46,"vaceri",1.68747435241049,1.86992325438878,1.52282703761229,46,0.0222078696008869,-0.00336958204443532,0.0477853212462091,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.37",47,"vaceri",1.70181594449614,1.88361513643577,1.53756330203501,47,0.0237479612064025,-0.00314435508279969,0.0506402774956048,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.38",48,"vaceri",1.71627942362752,1.89741335267228,1.55243719341317,48,0.0253920829271256,-0.00287078745273686,0.0536549533069881,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.39",49,"vaceri",1.7308658257044,1.91131898649318,1.56744977042693,49,0.0271468654947882,-0.00254334527699936,0.0568370762665758,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.40",50,"vaceri",1.74557619543049,1.92533314467186,1.58260208758464,50,0.0290193058270601,-0.00215599637825826,0.0601946080323784,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.41",51,"vaceri",1.76041158638831,1.93945695840676,1.59789519435173,51,0.0310167791016492,-0.00170217583129311,0.0637357340345916,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.42",52,"vaceri",1.77537306111459,1.95369158442963,1.61333013421952,52,0.0331470499526038,-0.00117475056765402,0.0674688504728617,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.43",53,"vaceri",1.79046169117644,1.96803820617934,1.62890794371004,53,0.0354182825359568,-0.000565983284357634,0.0714025483562713,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.44",54,"vaceri",1.80567855724801,1.98249803504537,1.64462965131294,54,0.0378390491786022,0.000132504026398653,0.0755455943308057,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.45",55,"vaceri",1.82102474918798,1.99707231168521,1.66049627635009,55,0.0404183372887373,0.000929766534775799,0.0799069080426987,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.46",56,"vaceri",1.83650136611756,2.01176230742025,1.67650882776337,56,0.0431655541685839,0.00183557254170769,0.08449553579546,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.47",57,"vaceri",1.85210951649921,2.02656932571491,1.692668302821,57,0.0460905293307352,0.00286043838682905,0.0893206202746415,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.48",58,"vaceri",1.86785031821608,2.04149470374392,1.70897568573734,58,0.0492035138788441,0.00401566161901244,0.0943913661386759,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.49",59,"vaceri",1.88372489865202,2.05653981405314,1.725431946201,59,0.0525151764721011,0.00531335163657657,0.0997170013076256,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.50",60,"vaceri",1.89973439477234,2.0717060663191,1.74203803780587,60,0.0560365953518819,0.0067664568781558,0.105306733825608,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.51",61,"vaceri",1.91587995320527,2.08699490921316,1.75879489637937,61,0.0597792458691101,0.00838878751005442,0.111169704228166,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.52",62,"vaceri",1.93216273032405,2.10240783237588,1.7757034382023,62,0.063754982913576,0.0101950324132077,0.117314933413944,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.53",63,"vaceri",1.94858389232977,2.11794636850777,1.79276455811402,63,0.0679760176132371,0.0122007691249532,0.123751266101521,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.54",64,"vaceri",1.96514461533486,2.13361209558244,1.80997912749712,64,0.0724548876442473,0.0144224652409026,0.130487310047592,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.55",65,"vaceri",1.9818460854474,2.14940663918844,1.82734799213525,65,0.077204420473286,0.0168774696345707,0.137531371312001,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.56",66,"vaceri",1.99868949885599,2.16533167500596,1.84487196993792,66,0.0822376888451436,0.0195839917125742,0.144891385977713,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.57",67,"vaceri",2.01567606191547,2.18138893142469,1.86255184852593,67,0.0875679578332564,0.0225610667980021,0.152574848868511,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.58",68,"vaceri",2.03280699123331,2.19758019230897,1.88038838267161,68,0.0932086227920069,0.0258285056323343,0.16058873995168,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.59",69,"vaceri",2.05008351375675,2.21390729991605,1.89838229158763,69,0.0991731375904188,0.0294068259169502,0.168939449263887,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.60",70,"vaceri",2.06750686686065,2.2303721579731,1.91653425605912,70,0.105474932570805,0.0333171637903155,0.177632701351294,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.61",71,"vaceri",2.08507829843616,2.24697673491805,1.93484491541387,71,0.112127321766477,0.0375811631693841,0.186673480363569,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.62",72,"vaceri",2.10279906698006,2.2637230673087,1.95331486432621,72,0.119143399033206,0.0422208409879721,0.19606595707844,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.63",73,"vaceri",2.1206704416849,2.28061326340364,1.97194464945109,73,0.126535922902848,0.0472584265562408,0.205813419249454,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.64",74,"vaceri",2.1386937025299,2.29764950691744,1.99073476588586,74,0.134317190157083,0.0527161735599135,0.215918206754252,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.65",75,"vaceri",2.15687014037267,2.31483406095124,2.00968565345868,75,0.142498898346448,0.058616143631222,0.226381653061674,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.66",76,"vaceri",2.17520105704158,2.33216927209799,2.02879769284431,76,0.151091997745562,0.0649799609705456,0.237204034520578,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.67",77,"vaceri",2.19368776542907,2.34965757471965,2.04807120151001,77,0.160106533539171,0.0718285381907497,0.248384528887593,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.68",78,"vaceri",2.21233158958565,2.36730149539099,2.06750642949692,78,0.169551479373068,0.0791817744041646,0.259921184341971,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.69",79,"vaceri",2.23113386481474,2.38510365750167,2.08710355504524,79,0.179434563774742,0.0870582275785018,0.271810899970982,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.70",80,"vaceri",2.25009593776829,2.40306678600465,2.10686268007517,80,0.18976209134419,0.0954747643491355,0.284049418339245,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.71",81,"vaceri",2.26921916654328,2.42119371229484,2.12678382553982,81,0.200538761026319,0.104446191778292,0.296631330274346,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.72",82,"vaceri",2.28850492077891,2.43948737919684,2.14686692667112,82,0.211767484190859,0.113984876972698,0.309550091409019,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.73",83,"vaceri",2.30795458175476,2.4579508460352,2.16711182814537,83,0.223449205648996,0.124100361972833,0.322798049325159,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.74",84,"vaceri",2.3275695424897,2.4765872937541,2.18751827920169,84,0.235582731110635,0.134798982856618,0.336366479364652,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.75",85,"vaceri",2.34735120784165,2.49540003004597,2.20808592875354,85,0.248164564913013,0.146083503489053,0.350245626336973,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.76",86,"vaceri",2.36730099460822,2.51439249444072,2.22881432054211,86,0.261188762109285,0.157952775710527,0.364424748508044,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.77",87,"vaceri",2.38742033162816,2.5335682632979,2.2497028883888,87,0.274646799173058,0.17040143888626,0.378892159459856,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.78",88,"vaceri",2.4077106598837,2.55293105463457,2.27075095161447,88,0.288527467630576,0.183419672517723,0.39363526274343,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.79",89,"vaceri",2.42817343260378,2.57248473271084,2.29195771070317,89,0.302816794857061,0.19699301591116,0.408640573802963,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.80",90,"vaceri",2.4488101153681,2.59223331228392,2.31332224329981,90,0.31749799605151,0.211102268568748,0.423893723534272,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.81",91,"vaceri",2.46962218621213,2.61218096242958,2.33484350064265,91,0.332551461023956,0.225723483876557,0.439379438171356,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.82",92,"vaceri",2.4906111357329,2.63233200981833,2.35652030454351,92,0.347954778885961,0.240828066687856,0.455081491084067,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.83",93,"vaceri",2.51177846719583,2.65269094132149,2.37835134504048,93,0.363682803031657,0.256382982450969,0.470982623612346,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.84",94,"vaceri",2.53312569664238,2.67326240581146,2.40033517885879,94,0.379707757944463,0.272351081574876,0.487064434314049,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.85",95,"vaceri",2.55465435299857,2.6940512150103,2.42247022882585,95,0.395999388383923,0.288691537813341,0.503307238954505,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.86",96,"vaceri",2.57636597818459,2.71506234323284,2.44475478439421,96,0.41252515042738,0.305360393740528,0.519689907114231,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.87",97,"vaceri",2.59826212722514,2.73630092586482,2.46718700343196,97,0.429250442699687,0.322311200182815,0.536189685216559,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.88",98,"vaceri",2.62034436836086,2.75777225641482,2.48976491544184,98,0.446138874965032,0.339495730200933,0.55278201972913,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.89",99,"vaceri",2.64261428316063,2.77948178198124,2.51248642636785,99,0.46315257012649,0.356864742451934,0.569440397801046,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.90",100,"vaceri",2.66507346663485,2.80143509698366,2.53534932514002,100,0.480252494631555,0.374368764155073,0.586136225108037,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.91",101,"vaceri",2.68772352734966,2.82363793502244,2.55835129209351,101,0.497398811364411,0.391958861096977,0.602838761631844,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.92",102,"vaceri",2.71056608754218,2.84609615875242,2.5814899093762,102,0.514551248362786,0.409587361691469,0.619515135034103,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.93",103,"vaceri",2.73360278323668,2.86881574768649,2.60476267342908,103,0.531669476165851,0.427208504383141,0.636130447948561,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.94",104,"vaceri",2.75683526436173,2.89180278388328,2.62816700958512,104,0.548713486306903,0.444778982645775,0.652647989968031,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.95",105,"vaceri",2.78026519486844,2.91506343552037,2.65170028878531,105,0.565643963425633,0.462258369088704,0.669029557762561,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.96",106,"vaceri",2.80389425284956,2.93860393840911,2.67535984635582,106,0.582422643691508,0.479609408998551,0.685235878384464,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.97",107,"vaceri",2.8277241306597,2.96243057556948,2.69914300272776,107,0.599012652691183,0.496798183010361,0.701227122372006,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.98",108,"vaceri",2.85175653503655,2.98654965505037,2.72304708591443,108,0.615378816615109,0.513794147437894,0.716963485792325,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.99",109,"vaceri",2.8759931872231,3.01096748625068,2.74706945549031,109,0.63148794144749,0.530570068125184,0.732405814769796,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.100",110,"vaceri",2.90043582309094,3.03569035506641,2.77120752774706,110,0.647309055876762,0.54710186881366,0.747516242939865,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
